,,,,,
Invoice Date,Invoice Number,Company Name (Seller),Spare Part Name,Qty,Price per Unit
,0102/25-26,PACKORA AUTOMATION SYSTEMS,Chain Type Orientation Assembly With Slide-RH,3.00 NOS,
,0102/25-26,PACKORA AUTOMATION SYSTEMS,Transfer Unit Mounting Vertical & Horizontal Slide,1.00 NOS,
,DE/25-26/453,DORIN ENTERPRISES,Core for Rubber Roller (OD32 x 100mm),4 Nos.,
,DE/25-26/453,DORIN ENTERPRISES,Core for Rubber Roller (Assorted),17 Nos.,
,DE/25-26/453,DORIN ENTERPRISES,Web Support Guide,2 Nos.,
,DE/25-26/453,DORIN ENTERPRISES,WP-A000-SETION FRAME-02,4 Nos.,
08-Sep-25,25-26/1784,Bindal Belting Pvt. Ltd.,15 T21 R35 Sprocket 50803,10,"1,000.00"
23-Sep-25,DN/00286/25-26,DE & NEPHEW,120 L X 100 OD X 10 ID FOAM ROLLER,1 PCS,"1,320.00"
23-Sep-25,DN/00286/25-26,DE & NEPHEW,130 L X 100 OD X 10 ID FOAM ROLLER,1 PCS,330
23-Sep-25,DN/00286/25-26,DE & NEPHEW,150 L X 120 OD X 16 ID FOAM ROLLER,4 PCS,"1,800.00"
06-Aug-25,DN/00198/25-26,DE & NEPHEW,1028 L X 25 X 13 MM T ORANGE BELT,1 NOS,"4,540.00"
20-Aug-25,DN/00230/25-26,DE & NEPHEW,100 L X 100 OD X 10 ID FOAM ROLLER,4 NOS,800
20-Aug-25,DN/00230/25-26,DE & NEPHEW,150 L X 100 OD X 10 ID FOAM ROLLER,5 NOS,"1,200.00"
20-Aug-25,DN/00230/25-26,DE & NEPHEW,200 L X 100 OD X 10 ID FOAM ROLLER,5 NOS,"1,500.00"
21-Aug-25,DN/00233/25-26,DE & NEPHEW,1420 L X 125 X 10 MM T BELT,1 NOS,"7,150.00"
21-Aug-25,DN/00233/25-26,DE & NEPHEW,1731 L X 25 X 13 MM T ORANGE BELT,5 NOS,"2,500.00"
29-Aug-25,DN/00246/25-26,DE & NEPHEW,467 X 180 X 50 MM FOAM SPONGE RUBBER SHEET,1 NOS,"1,000.00"
29-Aug-25,DN/00246/25-26,DE & NEPHEW,420 X 100 X 25 MM FOAM BACK PLATE,1 NOS,950
14-07-2025,84,P. P. ENTERPRISES,FRONT SUPPORT PLATE,1,375
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,Labeling Controller with Step Motor,1.00 Nos,"32,000.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,VFD Communication Cable with 2 Pin MX,1.00 Nos,250
01-08-2025,76,P. P. ENTERPRISES,HANDWEEL,15,160
01-08-2025,76,P. P. ENTERPRISES,BRASS BUSH,20,90
01-08-2025,76,P. P. ENTERPRISES,PILLER PLATE SS 304 200 X125 X3 MM,2,850
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X125X10,5,"1,250.00"
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X150 X10,1,"1,450.00"
01-08-2025,76,P. P. ENTERPRISES,NYLON REEL CORE,3,450
01-08-2025,76,P. P. ENTERPRISES,REWINDER ROLLER,3,950
01-08-2025,76,P. P. ENTERPRISES,SS 304 ROD 10 X180,6,160
01-08-2025,76,P. P. ENTERPRISES,SENSOR MOUNTING BRACKET,3,675
01-08-2025,76,P. P. ENTERPRISES,GUIDE RING 52 X38,6,165
01-08-2025,76,P. P. ENTERPRISES,REEL SUPPORT,6,450
01-08-2025,76,P. P. ENTERPRISES,LABLE ROLLER,3,950
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 70 OD AL. SPONGE ROLLER,4 NOS,"1,365.00"
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 100 OD AL. SPONGE ROLLER,2 NOS,"1,950.00"
,,DE & NEPHEW,20 L X 25 X 10 MM T BELT,1 NOS,"1,200.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,Labeling Controller with Step Motor,1.00 Nos,"32,000.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,VFD Communication Cable with 2 Pin MX,1.00 Nos,250
01-08-2025,76,P. P. ENTERPRISES,HANDWEEL,15,160
01-08-2025,76,P. P. ENTERPRISES,BRASS BUSH,20,90
01-08-2025,76,P. P. ENTERPRISES,PILLER PLATE SS 304 200 X125 X3 MM,2,850
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X125X10,5,"1,250.00"
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X150 X10,1,"1,450.00"
01-08-2025,76,P. P. ENTERPRISES,NYLON REEL CORE,3,450
01-08-2025,76,P. P. ENTERPRISES,REWINDER ROLLER,3,950
01-08-2025,76,P. P. ENTERPRISES,SS 304 ROD 10 X180,6,160
01-08-2025,76,P. P. ENTERPRISES,SENSOR MOUNTING BRACKET,3,675
01-08-2025,76,P. P. ENTERPRISES,GUIDE RING 52 X38,6,165
01-08-2025,76,P. P. ENTERPRISES,REEL SUPPORT,6,450
01-08-2025,76,P. P. ENTERPRISES,LABLE ROLLER,3,950
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 70 OD AL. SPONGE ROLLER,4 NOS,"1,365.00"
09-Jul-25,DN/00210/25-26,DE & NEPHEW,150 L X 100 OD AL. SPONGE ROLLER,2 NOS,"1,950.00"
,,DE & NEPHEW,20 L X 25 X 10 MM T BELT,1 NOS,"1,200.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,Labeling Controller with Step Motor,1.00 Nos,"? 32,000.00"
09-07-2025,IEPL/FY25-26/198,Ingenium Electronics Pvt. Ltd.,VFD Communication Cable with 2 Pin MX,1.00 Nos,? 250.00
01-08-2025,76,P. P. ENTERPRISES,HANDWEEL,15,? 160.00
01-08-2025,76,P. P. ENTERPRISES,BRASS BUSH,20,? 90.00
01-08-2025,76,P. P. ENTERPRISES,PILLER PLATE SS 304 200 X125 X3 MM,2,? 850.00
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X125X10,5,"? 1,250.00"
01-08-2025,76,P. P. ENTERPRISES,BACK PLATE 420 X150 X10,1,"? 1,450.00"
01-08-2025,76,P. P. ENTERPRISES,NYLON REEL CORE,3,? 450.00
01-08-2025,76,P. P. ENTERPRISES,REWINDER ROLLER,3,? 950.00
01-08-2025,76,P. P. ENTERPRISES,SS 304 ROD 10 X180,6,? 160.00
01-08-2025,76,P. P. ENTERPRISES,SENSOR MOUNTING BRACKET,3,? 675.00
01-08-2025,76,P. P. ENTERPRISES,GUIDE RING 52 X38,6,? 165.00
